platform,video_id,video_url,video_title,comment_id,author,text,time,votes,heart,fetched_utc,text_clean,sentimen_rule
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTBRuu8GT0,@GHANYGarden,Pasti sesama pelakor atau saudaranya pelakor nih😂,2 bulan yang lalu,0,False,2025-12-20T09:26:36.736030+00:00,pasti sesama pelakor atau saudaranya pelakor nih,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTCHaRwDj0,@komalakokom6858,Jgn pernah balik lg ma aldy ya..selingkuh itu penyakit..ga akan pernh sembuh..biar sama pelakor..biar d8a merasakan hal yg sa dgn  mu..kuat..bangkit..,2 bulan yang lalu,0,False,2025-12-20T09:26:37.631874+00:00,jgn pernah balik lg ma aldy ya selingkuh itu penyakit ga akan pernh sembuh biar sama pelakor biar d8a merasakan hal yg sa dgn mu kuat bangkit,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTClh1x7vp,@anitamutiara2452,pelakornya tuh yg komen😁,2 bulan yang lalu,0,False,2025-12-20T09:26:37.910744+00:00,pelakornya tuh yg komen,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTJTmYiosP,@spillyuli,"lu pelakor ya , jd gerah liat podcast beginian di tampilin ke publik berasa sakit ati kan kaum lu sesama pelakor dipermalukan wkowkowkowko",2 bulan yang lalu,0,False,2025-12-20T09:26:39.628003+00:00,lu pelakor ya jd gerah liat podcast beginian di tampilin ke publik berasa sakit ati kan kaum lu sesama pelakor dipermalukan wkowkowkowko,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTKIf1Wz8T,@woellanshopsurabaya8510,"Perempuan bodoh dr awal pacaran penting di buat podcast biar gk ada yg bodoh lg kyk dia
Uda bodoh dr awal bucin parah knp baru skrg merasa tersakiti pdhl dr awal suaminy gk cinta dan selingkuh berkli2

ingat jgn contoh perempuan bodoh ini 
Jgn bucin hrs smart dan logika dipakai

Ini sdh bodoh bucin skrg merasa terdzolimi",2 bulan yang lalu,0,False,2025-12-20T09:26:40.544710+00:00,perempuan bodoh dr awal pacaran penting di buat podcast biar gk ada yg bodoh lg kyk dia uda bodoh dr awal bucin parah knp baru skrg merasa tersakiti pdhl dr awal suaminy gk cinta dan selingkuh berkli2 ingat jgn contoh perempuan bodoh ini jgn bucin hrs smart dan logika dipakai ini sdh bodoh bucin skrg merasa terdzolimi,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTPPKpx5mo,@fajri-27,Keluarga pelakor lu?,2 bulan yang lalu,0,False,2025-12-20T09:26:40.925902+00:00,keluarga pelakor lu,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTPiR8EymE,@altafandratv7024,"Orang tolol komen semaunya!!!Anda pelakor???
Buat bahan pembelajaran anji....k
Ambil positifnya!!!!",2 bulan yang lalu,0,False,2025-12-20T09:26:41.203875+00:00,orang tolol komen semaunya anda pelakor buat bahan pembelajaran anji k ambil positifnya,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTTIzbX50a,@luka123marj,"Semoga lu tersakiti saat diselingkuhin, meski simpanan orang.",2 bulan yang lalu (diedit),0,False,2025-12-20T09:26:42.058248+00:00,semoga lu tersakiti saat diselingkuhin meski simpanan orang,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTVgqMJBsL,@laila7152,PASTI PELAKOR NI😅😅😅,2 bulan yang lalu,0,False,2025-12-20T09:26:43.004068+00:00,pasti pelakor ni,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTVwXxRBMo,@surysuryani1229,Sodaranya pelakor ya,2 bulan yang lalu,0,False,2025-12-20T09:26:43.278104+00:00,sodaranya pelakor ya,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTXVnAM-IV,@Mitaa09,Ini pelakornya yaa ? Ataugak kamu sejenis pelakor itu,2 bulan yang lalu,0,False,2025-12-20T09:26:44.198338+00:00,ini pelakornya yaa ataugak kamu sejenis pelakor itu,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTXwV7szAr,@owengode1359,"Perlu dong.....biar jd worning untuk para pasangan yg ingin berselingkuh,untuk mikir 2kali",2 bulan yang lalu,0,False,2025-12-20T09:26:44.528454+00:00,perlu dong biar jd worning untuk para pasangan yg ingin berselingkuh untuk mikir 2kali,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTY4euPUYR,@lindabire5673,Pasti ni salah satu pelaku selingkuh juga ni,2 bulan yang lalu,0,False,2025-12-20T09:26:44.808308+00:00,pasti ni salah satu pelaku selingkuh juga ni,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTYKkNwuxI,@radayanti7391,Pasti pelakor ya,2 bulan yang lalu,0,False,2025-12-20T09:26:45.611211+00:00,pasti pelakor ya,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTZ7lwIJZY,@newndmchannel7393,"Pentinglah, apa loe jga sekutunya kayak putri si pelakor makanya gk suka,apa kayak renaldinya 😂",2 bulan yang lalu,0,False,2025-12-20T09:26:45.918002+00:00,pentinglah apa loe jga sekutunya kayak putri si pelakor makanya gk suka apa kayak renaldinya,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTZYo1NdP8,@riskawarni8116,"Penting banget dong kasih pelajaran suami dan pelakornya,biar malu itu punkalau punya malu.",2 bulan yang lalu,0,False,2025-12-20T09:26:46.185953+00:00,penting banget dong kasih pelajaran suami dan pelakornya biar malu itu punkalau punya malu,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANT_hMY9j2S,@SriTanjungPemiluwati,Ini pelakor yg tersinggung nih pasti ahahahah..,2 bulan yang lalu,0,False,2025-12-20T09:26:47.156360+00:00,ini pelakor yg tersinggung nih pasti ahahahah,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTa00rj_5d,@fransiskajustin4593,Penting buat edukasi. Moga lu ga ngerasain di selingkuhin dan dont event think you can cheating!! Tuhan Maha Melihat,2 bulan yang lalu,0,False,2025-12-20T09:26:47.427627+00:00,penting buat edukasi moga lu ga ngerasain di selingkuhin dan dont event think you can cheating tuhan maha melihat,negatif
youtube,2BIwPUhZPS4,https://www.youtube.com/watch?v=2BIwPUhZPS4,"“SEMOGA BUR*NGMU GA BERDIRI LAGI!"" SUMPAH SEORANG ISTRI YG TERDZOLIMI !",UgzSqI-BURADwwCQFh14AaABAg.ANSz1PTnLvPANTa6e4L3JR,@suwarsihsastrohartoyo6712,"😅😅😅sewot,anda pelakor ye",2 bulan yang lalu,0,False,2025-12-20T09:26:47.704629+00:00,sewot anda pelakor ye,negatif
